,Award,Winner,Name,Film,Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Gross
12,Special Award,1.0,Charles Chaplin,The Circus,The Circus,1928,Passed,72 min,"Comedy, Romance",8.1,90.0,Charles Chaplin,
24,Directing,1.0,Lewis Milestone,All Quiet on the Western Front,All Quiet on the Western Front,1930,U,152 min,"Drama, War",8.0,91.0,Lewis Milestone,"3,270,000"
60,Actor,1.0,Clark Gable,It Happened One Night,It Happened One Night,1934,Approved,105 min,"Comedy, Romance",8.1,87.0,Frank Capra,"4,360,000"
61,Actress,1.0,Claudette Colbert,It Happened One Night,It Happened One Night,1934,Approved,105 min,"Comedy, Romance",8.1,87.0,Frank Capra,"4,360,000"
122,Special Award,1.0,W. Howard Greene,A Star Is Born,A Star Is Born,2018,UA,136 min,"Drama, Music, Romance",7.6,88.0,Bradley Cooper,"215,288,866"
135,Actor in a Supporting Role,1.0,Thomas Mitchell,Stagecoach,Stagecoach,1939,Passed,96 min,"Adventure, Drama, Western",7.8,93.0,John Ford,
136,Actress,1.0,Vivien Leigh,Gone with the Wind,Gone with the Wind,1939,U,238 min,"Drama, History, Romance",8.1,97.0,Victor Fleming,"198,676,459"
137,Actress in a Supporting Role,1.0,Hattie McDaniel,Gone with the Wind,Gone with the Wind,1939,U,238 min,"Drama, History, Romance",8.1,97.0,Victor Fleming,"198,676,459"
152,Special Award,1.0,William Cameron Menzies,Gone with the Wind,Gone with the Wind,1939,U,238 min,"Drama, History, Romance",8.1,97.0,Victor Fleming,"198,676,459"
153,Actor,1.0,James Stewart,The Philadelphia Story,The Philadelphia Story,1940,,112 min,"Comedy, Romance",7.9,96.0,George Cukor,
155,Actress in a Supporting Role,1.0,Jane Darwell,The Grapes of Wrath,The Grapes of Wrath,1940,Passed,129 min,"Drama, History",8.0,96.0,John Ford,"55,000"
190,Special Award,1.0,Leopold Stokowski and Associates,Fantasia,Fantasia,1940,G,125 min,"Animation, Family, Fantasy",7.7,96.0,James Algar,"76,408,097"
260,Actor,1.0,Ray Milland,The Lost Weekend,The Lost Weekend,1945,Passed,101 min,"Drama, Film-Noir",7.9,,Billy Wilder,"9,460,000"
279,Actor in a Supporting Role,1.0,Harold Russell,The Best Years of Our Lives,The Best Years of Our Lives,1946,Approved,170 min,"Drama, Romance, War",8.0,93.0,William Wyler,"23,650,000"
296,Special Award,1.0,Harold Russell,The Best Years of Our Lives,The Best Years of Our Lives,1946,Approved,170 min,"Drama, Romance, War",8.0,93.0,William Wyler,"23,650,000"
298,Actor in a Supporting Role,1.0,Edmund Gwenn,Miracle on 34th Street,Miracle on 34th Street,1947,,96 min,"Comedy, Drama, Family",7.9,88.0,George Seaton,"2,650,000"
322,Actor,1.0,Laurence Olivier,Hamlet,Hamlet,1996,PG-13,242 min,Drama,7.7,,Kenneth Branagh,"4,414,535"
